mir	20127_1_1	20127_1_2	20127_1_3	20127_1_4	20127_1_5	20127_1_6
hsa-mir-492	0	5	4	4	0	3
hsa-mir-548bb-3p	0	0	2	1	2	4
hsa-mir-103b	0	1	0	1	0	0
hsa-mir-6514-3p	0	1	1	0	0	0
hsa-mir-885-3p	2	0	2	4	0	1
hsa-mir-4443	5	11	16	10	8	11
hsa-mir-4484	9	7	17	23	17	8
hsa-mir-2355-5p	5	5	10	2	5	6
hsa-mir-520f-5p	1	0	0	0	0	0
hsa-mir-7111-5p	1	0	11	2	2	1
hsa-mir-708-5p	156	129	236	134	155	138
hsa-mir-6073	5	6	6	4	5	10
hsa-mir-140-5p	56	47	92	62	38	40
hsa-mir-3663-3p	11	11	17	13	13	22
hsa-mir-6884-3p	1	0	1	0	1	0
hsa-mir-3179	1	0	0	1	1	1
hsa-mir-6859-3p	0	0	0	1	0	4
hsa-mir-3132	0	1	0	0	0	0
hsa-mir-516a-3p	0	0	1	0	0	1
hsa-mir-7154-3p	0	7	6	4	2	1
hsa-mir-4504	1	1	7	3	3	1
hsa-mir-378i	1	2	6	0	1	1
hsa-mir-1255a	83	64	97	84	91	89
hsa-mir-31-3p	0	0	0	1	1	0
hsa-mir-423-3p	8849	8362	14877	8716	9532	9173
hsa-mir-342-3p	5900	7439	18751	6739	8869	8486
hsa-mir-6080	0	0	0	0	0	1
hsa-mir-3136-5p	8	7	7	1	7	1
hsa-mir-490-3p	0	0	0	0	1	0
hsa-mir-548ah-5p	0	0	1	0	0	0
hsa-mir-153-3p	0	0	1	0	0	1
hsa-mir-4709-5p	2	0	2	1	0	0
hsa-mir-5191	2	0	0	0	0	1
hsa-mir-548ac	3	5	10	6	4	3
hsa-mir-3940-5p	7	4	5	2	7	4
hsa-mir-1827	1	1	1	1	0	3
hsa-mir-4682	3	5	9	1	4	3
hsa-mir-23b-3p	1822	1989	4489	1784	2059	2289
hsa-mir-6508-5p	1	3	0	1	0	0
hsa-mir-924	0	0	0	1	0	0
hsa-mir-3193	0	1	0	3	1	0
hsa-mir-2861	2	0	0	1	3	0
hsa-mir-3157-3p	6	7	3	2	1	1
hsa-mir-4748	0	2	2	1	1	0
hsa-mir-6785-3p	0	0	0	0	4	0
hsa-mir-3663-5p	0	0	0	2	0	0
hsa-mir-6767-5p	1	0	0	3	2	0
hsa-mir-34b-5p	1	2	2	2	1	0
hsa-mir-181a-3p	3991	3851	7395	3373	4277	4994
hsa-mir-135a-5p	3	1	9	3	1	2
hsa-mir-3928-3p	9	4	14	6	17	5
hsa-mir-4758-5p	1	1	4	2	1	1
hsa-mir-4786-5p	6	6	8	3	3	1
hsa-mir-4467	0	1	2	1	4	1
hsa-mir-936	0	2	0	0	0	0
hsa-mir-3652	4	2	2	2	3	2
hsa-mir-615-3p	1263	1929	3603	2296	2751	1397
hsa-mir-4802-3p	9	8	10	6	8	11
hsa-mir-6850-3p	14	24	42	28	38	32
hsa-mir-3661	31	46	113	33	44	66
hsa-mir-548d-5p	3	3	7	5	8	3
hsa-mir-203b-5p	0	0	4	0	1	1
hsa-mir-5588-3p	0	1	0	0	0	0
hsa-mir-3916	13	14	21	11	9	7
hsa-mir-545-5p	5	8	7	5	3	5
hsa-mir-596	0	0	1	0	0	0
hsa-mir-6875-3p	0	0	4	3	0	1
hsa-mir-212-3p	32	28	57	31	20	47
hsa-mir-4692	2	2	2	1	0	2
hsa-mir-1322	3	2	2	2	2	3
hsa-mir-4659a-5p	0	0	0	1	0	0
hsa-mir-4289	1	0	0	0	2	0
hsa-mir-4453	0	1	0	1	1	0
hsa-mir-634	0	0	0	1	0	0
hsa-mir-7641	604	876	1234	1009	988	1066
hsa-mir-6873-5p	3	0	0	1	0	0
hsa-mir-431-3p	0	0	0	0	0	1
hsa-mir-4723-3p	1	1	3	0	1	2
hsa-mir-1183	0	1	0	0	0	0
hsa-mir-4436b-3p	0	0	1	1	0	0
hsa-mir-2276-3p	23	28	74	40	31	29
hsa-mir-1180-3p	3241	2898	4569	3297	3686	3641
hsa-mir-326	382	398	667	352	425	439
hsa-mir-125b-1-3p	1	0	0	0	1	0
hsa-mir-4804-3p	0	0	1	1	0	0
hsa-mir-1224-3p	0	2	1	0	0	0
hsa-mir-1273h-3p	1	0	3	3	0	0
hsa-mir-15b-3p	334	298	587	375	408	521
hsa-mir-362-5p	46	55	95	41	71	66
hsa-mir-3937	0	0	3	1	0	0
hsa-mir-26a-2-3p	88	108	199	81	118	97
hsa-mir-6858-5p	2	4	9	9	5	5
hsa-mir-4491	0	0	1	0	0	0
hsa-mir-4756-3p	0	1	0	0	0	0
hsa-mir-4670-3p	1	2	6	1	0	3
hsa-mir-7852-3p	0	0	2	0	2	0
hsa-mir-641	67	54	93	48	51	59
hsa-mir-5588-5p	6	35	47	19	23	36
hsa-mir-548o-3p	11	37	38	34	28	35
hsa-mir-6791-3p	0	0	2	3	0	3
hsa-mir-1343-5p	4	3	9	1	6	6
hsa-mir-1234-3p	5	2	1	2	5	4
hsa-mir-122-5p	1	3	2	1	0	1
hsa-mir-6846-5p	1	0	0	1	1	0
hsa-mir-3945	0	0	0	0	2	0
hsa-mir-6813-3p	0	2	0	0	3	1
hsa-mir-450b-5p	474	598	1064	714	840	449
hsa-mir-129-5p	6	15	15	16	16	19
hsa-mir-183-3p	1037	870	1698	927	1127	1109
hsa-mir-3678-5p	5	4	9	6	5	6
hsa-mir-6759-3p	0	0	3	0	0	0
hsa-mir-153-5p	2	4	6	1	1	3
hsa-mir-6853-3p	0	0	0	0	0	1
hsa-mir-4674	0	0	8	1	1	1
hsa-mir-4463	14	46	69	41	28	47
hsa-mir-296-3p	774	688	1033	683	744	772
hsa-mir-569	0	0	0	0	0	2
hsa-mir-1251-5p	5	2	2	1	5	2
hsa-mir-635	0	0	0	0	0	1
hsa-mir-4292	0	0	2	0	0	0
hsa-mir-3613-5p	101	121	189	107	98	69
hsa-mir-216a-3p	0	0	2	0	0	0
hsa-mir-181b-3p	238	255	359	199	248	299
hsa-mir-558	1	3	5	4	1	3
hsa-mir-6765-5p	4	1	8	2	5	9
hsa-mir-92a-3p	194842	178253	319344	173692	213477	196087
hsa-mir-940	141	148	363	140	164	207
hsa-mir-544a	0	0	2	0	1	1
hsa-mir-4753-3p	0	1	2	1	0	0
hsa-mir-1910-5p	797	806	1483	949	908	1292
hsa-mir-6799-5p	0	1	4	2	0	0
hsa-mir-485-3p	1	0	4	3	3	2
hsa-let-7i-3p	74	35	108	47	54	47
hsa-mir-374a-5p	55	69	155	107	111	60
hsa-mir-3200-3p	180	185	291	175	217	168
hsa-mir-2467-3p	1	0	2	2	0	0
hsa-mir-136-3p	1	0	0	0	0	1
hsa-mir-765	4	4	2	0	3	2
hsa-mir-493-3p	0	0	1	0	0	1
hsa-mir-133a-3p	0	1	5	0	0	7
hsa-mir-3144-5p	3	5	6	4	1	0
hsa-mir-6838-5p	0	3	3	2	1	2
hsa-mir-885-5p	2	0	1	3	1	3
hsa-mir-4753-5p	0	0	2	0	1	1
hsa-mir-610	0	0	1	0	0	0
hsa-mir-194-5p	573	506	826	553	661	592
hsa-mir-5095	47	85	131	80	86	104
hsa-mir-1233-5p	0	0	1	0	0	0
hsa-mir-34a-3p	20	17	35	25	20	16
hsa-mir-653-5p	197	199	249	225	249	197
hsa-mir-30d-5p	34674	40938	57243	44557	51628	40746
hsa-mir-1245a	1	0	0	0	0	0
hsa-mir-1202	0	0	1	0	0	0
hsa-mir-449c-5p	18	16	21	16	18	21
hsa-mir-650	2	5	0	3	0	4
hsa-mir-519a-3p	2	0	5	0	2	1
hsa-mir-1252-5p	2	1	12	1	2	7
hsa-mir-6826-3p	0	0	3	0	0	0
hsa-mir-3166	0	1	0	0	0	0
hsa-mir-3160-3p	1	6	3	1	2	2
hsa-mir-4485-3p	228	350	578	629	359	166
hsa-mir-7975	0	0	0	0	1	2
hsa-mir-6822-5p	0	1	5	0	0	0
hsa-mir-3688-3p	4	4	2	2	4	3
hsa-mir-4775	37	49	83	25	37	40
hsa-mir-4766-5p	0	3	1	0	2	0
hsa-mir-639	1	0	2	0	2	1
hsa-mir-27b-5p	1833	1615	3792	1565	2087	2880
hsa-mir-6796-5p	1	1	0	0	0	0
hsa-mir-3127-3p	23	17	23	12	26	20
hsa-mir-7157-5p	0	0	1	0	0	0
hsa-mir-3182	277	1407	2194	1315	721	1949
hsa-mir-6889-5p	0	0	4	0	0	1
hsa-mir-128-1-5p	718	673	1279	625	873	1028
hsa-mir-501-3p	1586	3702	6519	2707	4098	2070
hsa-mir-6744-5p	23	12	33	19	23	18
hsa-mir-4313	0	0	2	0	0	0
hsa-mir-3675-3p	2	0	0	0	0	1
hsa-mir-3188	17	15	46	11	27	24
hsa-mir-6824-5p	0	0	1	0	1	0
hsa-mir-548i	2	6	4	1	3	2
hsa-mir-548aq-5p	0	1	2	0	2	0
hsa-let-7f-5p	116264	107366	210258	109458	130615	120585
hsa-mir-4534	0	0	1	0	0	0
hsa-mir-34a-5p	1345	1230	2316	968	1225	1282
hsa-mir-548ba	1	2	6	6	1	5
hsa-mir-320a	3295	3352	6102	3418	4014	3832
hsa-mir-7113-5p	1	1	1	3	1	4
hsa-mir-3143	5	2	7	5	4	4
hsa-mir-502-3p	88	142	255	109	147	78
hsa-let-7d-5p	14923	14205	25849	12035	16334	16361
hsa-mir-4676-3p	0	1	1	0	2	0
hsa-mir-597-3p	2	2	5	1	3	1
hsa-mir-5002-3p	0	0	0	1	0	0
hsa-mir-6754-3p	0	0	3	0	1	0
hsa-mir-548b-5p	10	12	18	11	15	6
hsa-mir-4330	0	0	0	0	1	0
hsa-mir-4766-3p	1	2	0	2	0	0
hsa-mir-4438	0	1	0	0	4	0
hsa-mir-1179	2	4	0	5	3	2
hsa-mir-3173-3p	0	2	2	2	2	0
hsa-mir-133b	0	0	0	0	0	1
hsa-mir-556-5p	22	16	58	33	27	19
hsa-mir-6124	0	0	0	1	0	0
hsa-mir-587	1	0	0	2	0	0
hsa-mir-378b	1	4	1	2	2	3
hsa-mir-877-5p	3802	3375	6727	3892	4049	4146
hsa-mir-4750-3p	0	0	2	0	0	0
hsa-mir-6739-3p	0	1	0	1	0	2
hsa-mir-3198	6	0	1	0	0	1
hsa-mir-6815-5p	12	12	17	7	6	8
hsa-mir-602	2	0	0	0	0	1
hsa-mir-339-3p	3518	3024	5866	2926	3587	3835
hsa-mir-3942-3p	1	2	1	1	2	0
hsa-mir-551b-3p	0	1	1	1	0	2
hsa-mir-503-3p	2	4	9	9	11	8
hsa-mir-338-5p	4	5	10	6	9	4
hsa-mir-3614-5p	26	16	41	29	23	21
hsa-mir-618	4	6	13	15	7	6
hsa-mir-24-1-5p	11	11	60	10	16	12
hsa-mir-6880-5p	1	0	2	0	1	1
hsa-mir-548aj-5p	2	1	5	3	2	1
hsa-mir-1302	0	0	3	4	1	0
hsa-mir-4525	14	13	24	7	10	19
hsa-mir-3662	4	11	26	7	9	14
hsa-mir-4636	1	1	2	0	0	1
hsa-mir-5087	2	2	7	7	7	9
hsa-mir-3622a-3p	0	0	1	1	0	0
hsa-mir-1-3p	0	1	0	0	0	0
hsa-mir-548p	0	2	0	0	0	0
hsa-mir-6776-3p	0	0	1	0	0	2
hsa-mir-6837-3p	17	12	22	12	15	19
hsa-mir-6770-5p	3	2	12	3	5	0
hsa-mir-410-5p	0	0	1	0	0	0
hsa-mir-1295a	0	1	4	0	2	0
hsa-mir-411-3p	0	1	5	0	1	1
hsa-mir-4691-3p	4	1	6	7	2	9
hsa-mir-222-5p	160	218	238	141	171	120
hsa-mir-4528	0	0	0	0	1	0
hsa-mir-155-5p	13	7	17	8	12	11
hsa-mir-215-5p	20	20	25	15	16	14
hsa-mir-4688	12	7	7	6	13	13
hsa-mir-4676-5p	0	0	0	1	2	0
hsa-mir-5189-3p	1	2	5	2	1	0
hsa-mir-4651	1	0	5	1	1	2
hsa-mir-624-5p	16	21	70	24	31	24
hsa-mir-6881-3p	0	0	1	1	0	1
hsa-mir-324-3p	338	357	623	346	360	382
hsa-mir-3064-3p	1	1	1	0	1	0
hsa-mir-6847-5p	20	20	54	24	28	20
hsa-mir-409-3p	81	83	145	84	83	103
hsa-mir-550a-5p	0	3	1	0	0	3
hsa-mir-106b-3p	4284	3937	6142	3423	4712	4360
hsa-mir-4658	1	0	5	0	0	0
hsa-mir-4421	0	0	0	2	0	2
hsa-mir-20a-5p	5056	5073	8942	4281	5402	5654
hsa-mir-1229-3p	17	24	56	24	22	39
hsa-mir-4738-3p	2	7	10	2	7	1
hsa-mir-96-5p	1661	6094	22166	5654	6206	3961
hsa-mir-7855-5p	1	0	0	0	0	0
hsa-mir-6783-3p	1	3	4	7	4	2
hsa-mir-6815-3p	4	3	6	2	3	4
hsa-mir-491-5p	5	1	1	1	1	3
hsa-mir-4767	19	9	17	5	20	11
hsa-mir-95-3p	135	222	289	177	256	127
hsa-mir-3918	0	0	4	2	2	4
hsa-mir-6820-5p	2	4	7	2	1	1
hsa-mir-5088-3p	0	2	3	1	2	4
hsa-mir-5003-5p	0	0	0	0	1	2
hsa-mir-651-5p	4	1	3	1	1	1
hsa-mir-1226-5p	26	27	38	24	23	31
hsa-mir-3926	0	0	1	0	0	0
hsa-mir-660-5p	723	636	1051	660	747	713
hsa-mir-105-5p	5	8	11	2	8	2
hsa-mir-4746-5p	148	119	239	158	163	152
hsa-mir-671-5p	387	446	987	365	398	491
hsa-mir-744-3p	43	41	71	48	56	45
hsa-mir-139-3p	1	0	2	2	0	2
hsa-mir-6862-5p	18	8	33	15	14	11
hsa-mir-424-5p	86	87	240	93	104	100
hsa-mir-33a-5p	161	117	214	140	130	140
hsa-mir-212-5p	37	70	151	59	69	33
hsa-mir-497-3p	1	0	2	0	1	0
hsa-mir-200a-3p	2053	2194	3969	2012	2345	2056
hsa-mir-6851-3p	0	0	0	0	0	2
hsa-mir-5088-5p	3	2	5	3	10	1
hsa-mir-3935	3	10	6	4	10	7
hsa-mir-181c-3p	404	417	656	393	447	464
hsa-mir-6852-3p	0	0	0	1	0	1
hsa-mir-26a-5p	33755	32922	60437	32178	39761	34367
hsa-mir-500b-3p	15	19	80	35	29	18
hsa-mir-4763-3p	14	8	13	8	16	18
hsa-mir-601	0	1	0	0	0	0
hsa-mir-5694	0	1	0	1	0	0
hsa-mir-187-5p	0	1	0	0	0	2
hsa-mir-8086	54	89	153	96	80	97
hsa-mir-4690-3p	0	2	6	2	0	4
hsa-mir-132-5p	29	22	48	31	28	34
hsa-mir-542-3p	135	165	204	220	216	191
hsa-mir-598-5p	0	0	5	2	2	0
hsa-mir-4516	6	20	5	17	18	10
hsa-mir-200c-5p	98	73	177	63	67	106
hsa-mir-1324	0	0	0	0	1	0
hsa-mir-106b-5p	1713	1464	2384	1389	1643	1512
hsa-mir-1290	0	0	0	0	2	2
hsa-mir-6871-5p	5	2	5	5	2	3
hsa-mir-6762-3p	0	1	0	1	0	1
hsa-mir-5697	0	0	1	0	1	0
hsa-mir-376a-2-5p	0	0	1	0	1	0
hsa-mir-4641	1	0	1	0	0	0
hsa-mir-675-3p	55	48	84	41	53	27
hsa-mir-450a-5p	119	193	336	184	264	137
hsa-mir-454-3p	1895	2180	3986	2247	2491	2439
hsa-mir-4750-5p	4	3	6	1	1	4
hsa-mir-6740-3p	2	0	0	1	0	0
hsa-mir-6831-5p	1	0	1	0	1	0
hsa-mir-1538	13	14	30	11	17	10
hsa-mir-8052	0	0	0	0	1	0
hsa-mir-4714-3p	6	13	8	15	12	12
hsa-mir-548aw	0	0	1	1	0	0
hsa-mir-3144-3p	1	0	0	1	1	1
hsa-mir-655-5p	1	7	3	6	4	4
hsa-mir-6834-3p	2	1	4	0	0	2
hsa-mir-6729-3p	0	1	0	0	0	3
hsa-mir-4655-5p	1	4	9	2	5	9
hsa-mir-186-3p	8	3	23	12	8	14
hsa-mir-663b	1	1	3	6	7	6
hsa-mir-30e-5p	9598	10676	16214	12052	13553	11212
hsa-mir-4721	1	0	1	0	1	0
hsa-mir-4441	0	0	1	0	0	0
hsa-mir-1237-3p	2	8	5	1	1	5
hsa-mir-1299	0	3	1	0	0	0
hsa-mir-3118	0	3	0	0	0	0
hsa-mir-6730-3p	1	2	0	1	0	0
hsa-mir-3620-3p	3	4	6	5	2	3
hsa-mir-4539	0	0	2	0	1	0
hsa-mir-3177-5p	19	12	20	8	24	24
hsa-mir-6832-3p	0	1	4	0	3	0
hsa-mir-339-5p	903	727	1056	735	881	819
hsa-mir-5589-5p	0	0	0	0	3	0
hsa-mir-6770-3p	7	9	15	6	11	4
hsa-mir-3122	1	0	0	0	1	0
hsa-mir-6864-5p	0	0	0	0	1	2
hsa-mir-3680-3p	0	0	1	0	0	0
hsa-mir-6723-5p	88	210	324	230	165	268
hsa-mir-4776-3p	0	0	0	1	0	0
hsa-mir-200c-3p	11194	11217	20850	10294	12196	12086
hsa-mir-365a-5p	64	110	153	113	142	156
hsa-mir-548bb-5p	0	0	2	0	1	1
hsa-mir-374a-3p	649	755	1271	822	1002	894
hsa-mir-5579-5p	1	2	0	0	2	0
hsa-mir-4498	4	2	0	0	2	1
hsa-mir-570-3p	0	1	3	1	4	1
hsa-mir-6088	1	0	0	0	0	0
hsa-mir-3687	26	34	40	71	58	34
hsa-mir-372-3p	1	0	0	0	1	0
hsa-mir-221-3p	808	659	1562	628	690	838
hsa-mir-573	45	38	110	42	47	83
hsa-mir-509-3-5p	0	0	0	0	0	1
hsa-mir-4761-3p	0	0	1	0	0	0
hsa-mir-4709-3p	1	0	0	0	0	0
hsa-mir-6829-5p	2	0	1	2	1	2
hsa-mir-7973	1	0	0	0	1	0
hsa-mir-944	48	67	65	30	53	45
hsa-mir-4284	39	328	121	522	176	144
hsa-mir-489-3p	104	91	176	70	98	99
hsa-mir-6736-5p	1	1	0	3	0	2
hsa-mir-6800-5p	4	5	8	2	2	10
hsa-mir-422a	1	5	4	2	9	5
hsa-mir-6804-3p	0	0	2	0	0	1
hsa-mir-6809-5p	0	0	2	0	0	0
hsa-let-7d-3p	1522	1259	2378	1383	1630	1426
hsa-mir-3614-3p	2	0	0	0	1	1
hsa-mir-28-3p	6740	6803	14155	6069	7357	8109
hsa-mir-671-3p	1610	1535	2246	1437	1915	1238
hsa-mir-330-5p	167	146	240	136	188	172
hsa-mir-8064	1	0	0	0	0	0
hsa-mir-3685	0	2	1	0	1	2
hsa-mir-4793-3p	2	4	8	2	1	4
hsa-mir-6807-3p	4	5	4	3	6	4
hsa-mir-5196-5p	0	0	3	4	5	1
hsa-mir-3914	0	1	1	0	0	0
hsa-mir-548j-3p	0	3	1	0	0	0
hsa-mir-3618	2	3	2	1	0	3
hsa-mir-4529-3p	0	0	0	0	1	0
hsa-mir-323b-3p	3	3	8	8	3	7
hsa-mir-3170	1	4	5	0	0	3
hsa-mir-7151-3p	0	0	1	0	1	0
hsa-mir-3150a-3p	3	0	7	0	3	7
hsa-mir-4714-5p	2	1	2	0	2	0
hsa-mir-20b-5p	6	1	11	6	8	4
hsa-mir-4771	2	1	9	3	3	6
hsa-mir-6883-5p	0	2	1	0	3	0
hsa-mir-6895-3p	0	1	1	3	2	2
hsa-mir-4301	0	1	0	0	0	0
hsa-mir-140-3p	3534	3514	5107	3236	4105	3672
hsa-mir-4429	0	0	0	0	0	1
hsa-mir-4306	0	0	1	0	0	0
hsa-mir-4428	2	0	0	2	0	0
hsa-mir-637	0	0	2	0	0	1
hsa-mir-4663	0	1	0	0	0	0
hsa-mir-6807-5p	3	3	6	7	4	1
hsa-mir-6878-5p	0	1	2	1	0	0
hsa-mir-4783-3p	10	9	12	8	14	7
hsa-mir-1910-3p	1	4	16	7	15	11
hsa-mir-1204	0	0	0	2	0	0
hsa-mir-3680-5p	0	0	0	2	1	0
hsa-mir-6817-3p	0	1	0	0	0	0
hsa-mir-7114-5p	0	1	3	0	0	0
hsa-mir-30b-5p	10913	9622	20152	9321	11471	10992
hsa-mir-369-3p	8	6	15	4	8	7
hsa-mir-548ay-3p	8	6	4	4	6	6
hsa-mir-4423-3p	0	0	0	0	1	0
hsa-mir-4711-5p	0	0	0	1	0	0
hsa-mir-6866-5p	2	4	11	7	8	8
hsa-mir-15b-5p	1272	1249	3130	1314	1534	1430
hsa-mir-6734-3p	0	0	2	0	0	0
hsa-mir-4726-3p	4	2	2	3	2	0
hsa-mir-3064-5p	6	3	12	9	3	6
hsa-mir-192-3p	1	7	6	2	3	4
hsa-mir-25-5p	472	520	1064	470	520	590
hsa-mir-29b-1-5p	14	31	66	10	23	18
hsa-mir-378e	20	15	27	28	31	27
hsa-mir-498	0	2	0	1	0	0
hsa-mir-4286	171	187	293	166	193	166
hsa-mir-218-5p	16	17	32	29	32	20
hsa-mir-376a-5p	11	5	10	2	3	2
hsa-mir-4268	0	0	0	0	1	0
hsa-mir-6820-3p	1	0	1	0	0	0
hsa-mir-1273a	259	452	977	432	403	650
hsa-mir-6747-3p	11	4	13	7	6	6
hsa-mir-4646-5p	1	0	0	0	2	0
hsa-mir-3154	1	0	0	0	0	1
hsa-mir-6511b-3p	59	58	150	73	84	110
hsa-mir-548ay-5p	54	91	129	75	74	83
hsa-mir-2110	201	197	311	222	241	234
hsa-mir-1288-3p	0	0	0	0	1	0
hsa-mir-566	100	292	600	278	251	463
hsa-mir-20a-3p	33	30	83	28	33	30
hsa-mir-3192-5p	3	0	1	2	3	0
hsa-mir-4799-5p	0	0	2	1	4	0
hsa-mir-574-3p	168	149	247	111	159	152
hsa-mir-7160-5p	0	0	0	0	2	0
hsa-mir-3619-5p	14	10	15	7	9	9
hsa-mir-154-3p	0	0	1	0	0	0
hsa-mir-27b-3p	170034	192491	375152	189487	235386	207402
hsa-mir-323a-5p	0	0	0	1	0	0
hsa-mir-6741-3p	3	0	2	6	2	1
hsa-mir-598-3p	90	98	129	85	94	79
hsa-mir-7851-3p	20	40	116	61	35	74
hsa-mir-1283	82	69	136	87	136	117
hsa-mir-6505-3p	2	0	0	0	0	0
hsa-mir-6854-5p	0	2	1	0	0	0
hsa-mir-3684	19	9	31	16	7	22
hsa-mir-33b-5p	742	650	1017	668	709	710
hsa-mir-769-5p	5969	5664	8747	5550	7015	6823
hsa-mir-4657	0	0	0	0	0	1
hsa-mir-193b-3p	3294	2951	5899	2682	3262	3228
hsa-mir-548az-5p	44	69	86	51	64	50
hsa-mir-659-3p	1	0	2	1	1	3
hsa-mir-548av-3p	1	1	1	0	0	1
hsa-mir-627-3p	5	5	7	3	0	6
hsa-mir-4684-5p	0	0	0	0	1	0
hsa-mir-3137	0	1	1	0	0	0
hsa-mir-6795-5p	3	0	0	0	0	2
hsa-mir-4532	384	295	93	626	679	59
hsa-mir-345-3p	5	4	12	8	8	13
hsa-mir-4765	1	3	0	1	0	0
hsa-mir-518a-3p	0	0	0	0	2	1
hsa-mir-6774-5p	0	0	1	0	0	0
hsa-mir-643	8	7	16	8	5	9
hsa-mir-1254	132	150	319	159	160	182
hsa-mir-3615	573	521	875	531	709	607
hsa-mir-296-5p	254	219	470	186	231	251
hsa-mir-3125	0	0	0	1	0	0
hsa-mir-6778-3p	0	0	0	0	0	2
hsa-mir-622	15	14	2	24	18	7
hsa-mir-1298-5p	0	0	0	0	1	0
hsa-mir-301b-3p	687	645	1541	634	812	764
hsa-mir-548ao-3p	0	1	3	0	0	0
hsa-mir-6792-3p	0	0	5	0	0	0
hsa-mir-590-3p	50	52	93	49	63	56
hsa-mir-378a-5p	84	80	95	48	69	70
hsa-mir-6798-3p	1	3	1	1	1	4
hsa-mir-6740-5p	0	0	1	0	0	1
hsa-mir-2115-3p	0	0	0	1	0	0
hsa-mir-3657	0	0	0	2	1	1
hsa-mir-647	0	3	1	4	0	1
hsa-mir-23b-5p	18	18	61	29	25	22
hsa-mir-6830-3p	0	0	0	0	0	1
hsa-mir-920	0	1	0	0	0	0
hsa-mir-762	3	4	3	2	1	2
hsa-mir-548ae-5p	6	12	15	16	15	16
hsa-mir-4741	2	2	4	3	2	6
hsa-mir-6795-3p	0	0	0	1	1	0
hsa-mir-4734	0	0	2	0	0	1
hsa-mir-1247-3p	237	256	434	205	270	245
hsa-mir-6773-3p	0	1	2	2	1	0
hsa-mir-523-3p	1	0	0	0	0	0
hsa-mir-4537	1	1	0	2	0	0
hsa-mir-548av-5p	0	0	3	2	0	0
hsa-mir-6865-5p	6	1	4	1	0	1
hsa-mir-8072	5	8	15	8	10	11
hsa-mir-532-5p	1398	1241	1924	1173	1451	1368
hsa-mir-323a-3p	18	12	28	6	18	13
hsa-mir-4325	0	0	0	0	1	0
hsa-mir-4662a-5p	0	0	0	0	2	0
hsa-mir-5585-3p	11	6	29	12	6	3
hsa-mir-4683	0	0	0	0	0	2
hsa-mir-1285-3p	948	850	1517	831	1164	1134
hsa-mir-770-5p	0	0	0	0	0	1
hsa-mir-5092	4	3	4	2	2	5
hsa-mir-135b-3p	16	14	26	19	15	17
hsa-mir-548ax	0	0	1	0	0	1
hsa-mir-4686	4	2	3	1	1	7
hsa-mir-6728-5p	1	1	0	1	3	0
hsa-mir-4440	2	2	0	0	1	0
hsa-mir-6813-5p	3	1	3	2	1	4
hsa-mir-512-5p	0	0	1	0	0	0
hsa-mir-5010-3p	8	1	3	5	3	6
hsa-mir-10b-5p	105	221	541	217	268	274
hsa-mir-1908-5p	137	144	215	96	138	166
hsa-mir-8058	0	0	1	0	0	0
hsa-mir-4648	3	4	3	1	9	4
hsa-mir-7108-5p	2	5	5	2	3	7
hsa-mir-219b-3p	10	21	17	11	11	12
hsa-mir-5003-3p	4	1	6	4	8	5
hsa-mir-548ar-3p	0	1	0	0	0	0
hsa-mir-4482-3p	4	1	1	2	3	0
hsa-mir-1321	1	0	0	0	0	0
hsa-mir-10b-3p	0	0	2	0	0	0
hsa-mir-1243	0	0	0	1	0	3
hsa-mir-1273c	102	83	113	94	99	68
hsa-mir-3195	220	296	21	665	574	17
hsa-mir-576-3p	48	57	90	54	57	63
hsa-mir-34c-5p	9	12	26	10	12	17
hsa-mir-548d-3p	10	3	5	7	2	8
hsa-mir-6764-3p	8	1	8	4	3	5
hsa-mir-6716-3p	17	16	42	34	33	19
hsa-mir-1343-3p	39	60	121	73	85	31
hsa-mir-877-3p	13	8	28	10	12	15
hsa-mir-6855-5p	0	0	0	1	0	2
hsa-mir-1225-3p	0	0	1	0	0	0
hsa-mir-4793-5p	0	0	0	1	0	0
hsa-mir-1251-3p	0	1	0	0	0	0
hsa-mir-6823-5p	2	0	1	0	0	0
hsa-mir-299-3p	5	2	4	7	8	7
hsa-mir-192-5p	17460	18312	24628	16588	21499	18925
hsa-mir-7155-3p	1	0	1	0	1	0
hsa-mir-3163	0	3	2	2	2	1
hsa-mir-6780b-5p	0	1	1	0	0	0
hsa-mir-4700-3p	0	0	0	0	1	1
hsa-mir-20b-3p	0	0	1	0	0	1
hsa-mir-4666a-5p	1	0	6	5	0	0
hsa-mir-5703	0	0	0	0	1	1
hsa-mir-6808-3p	0	0	2	0	0	0
hsa-mir-4295	0	0	0	0	0	1
hsa-mir-3929	76	172	222	161	134	157
hsa-mir-4477b	8	6	9	6	12	7
hsa-mir-4519	2	1	2	6	4	2
hsa-mir-4769-3p	0	0	2	0	3	5
hsa-mir-431-5p	0	3	1	0	0	3
hsa-mir-125a-3p	294	263	508	240	293	266
hsa-mir-429	1240	1315	2170	1337	1523	1336
hsa-mir-664b-5p	5	1	3	7	1	3
hsa-mir-6769a-3p	1	0	0	0	0	0
hsa-mir-519d-3p	0	2	0	0	0	0
hsa-mir-219a-1-3p	44	43	71	33	57	42
hsa-mir-6125	7	2	10	7	6	7
hsa-mir-3976	0	0	0	0	3	0
hsa-mir-6861-5p	0	0	1	0	0	0
hsa-mir-887-3p	19	8	13	6	9	10
