Gene	LogFC	V4	m210_1
LMF1	0.115599541	ensembl_havana	protein_coding
SLC6A3	0.115567925	ensembl_havana	protein_coding
ANKRD61	0.115567925	ensembl_havana	protein_coding
TPTE	0.115516692	ensembl_havana	protein_coding
SLC22A5	0.115416331	ensembl_havana	protein_coding
BNIP2	0.115266074	ensembl_havana	protein_coding
HTATSF1	0.115248608	ensembl_havana	protein_coding
BCAT2	0.115243957	ensembl_havana	protein_coding
ADCY5	0.115157857	ensembl_havana	protein_coding
CSNK2A1	0.114998077	ensembl_havana	protein_coding
TRIQK	0.114986952	ensembl_havana	protein_coding
AKAP9	0.114875769	ensembl_havana	protein_coding
GABPB1	0.114805727	ensembl_havana	protein_coding
NUDT5	0.114796703	ensembl_havana	protein_coding
PRPF19	0.114686141	ensembl_havana	protein_coding
UQCC3	0.11467647	ensembl_havana	protein_coding
APOA1BP	0.114532295	ensembl_havana	protein_coding
DIMT1	0.114438327	ensembl_havana	protein_coding
RNMT	0.114428611	ensembl_havana	protein_coding
HAGHL	0.114426033	ensembl_havana	protein_coding
C19orf53	0.114408357	ensembl_havana	protein_coding
CENPP	0.114298222	ensembl_havana	protein_coding
AURKB	0.11427035	ensembl_havana	protein_coding
ERGIC1	0.114262704	ensembl_havana	protein_coding
SNRPD3	0.114091014	ensembl_havana	protein_coding
HIGD1A	0.114072184	ensembl_havana	protein_coding
PTRH2	0.114052824	ensembl_havana	protein_coding
IFT140	0.113953052	ensembl_havana	protein_coding
UNC5C	0.113944658	ensembl_havana	protein_coding
SAMD4A	0.113842373	ensembl_havana	protein_coding
MRPL22	0.11380678	ensembl_havana	protein_coding
TBP	0.113795226	ensembl_havana	protein_coding
H1F0	0.113637342	ensembl_havana	protein_coding
IRF1	0.113329796	ensembl_havana	protein_coding
USP8	0.113295453	ensembl_havana	protein_coding
CTC1	0.113260895	ensembl_havana	protein_coding
CDON	0.113164266	ensembl_havana	protein_coding
ZNF24	0.112921465	ensembl_havana	protein_coding
STAG3	0.112770168	ensembl_havana	protein_coding
ZNF843	0.112770168	ensembl_havana	protein_coding
RP11-437B10.1	0.112770168	havana	protein_coding
SDF4	0.1127042	ensembl_havana	protein_coding
POLR3B	0.112635521	ensembl_havana	protein_coding
SNRNP35	0.112631365	ensembl_havana	protein_coding
SARS	0.112606934	ensembl_havana	protein_coding
FAR2	0.112523276	ensembl_havana	protein_coding
C12orf45	0.112467152	ensembl_havana	protein_coding
PDE5A	0.11241914	ensembl_havana	protein_coding
ITM2A	0.112400316	ensembl_havana	protein_coding
PLPPR1	0.112400316	ensembl_havana	protein_coding
ADH6	0.112400316	ensembl_havana	protein_coding
SMCO3	0.112400316	ensembl_havana	protein_coding
ENTPD8	0.112400316	ensembl_havana	protein_coding
PFDN1	0.112348121	ensembl_havana	protein_coding
TMEM184C	0.112176175	ensembl_havana	protein_coding
SESN2	0.111826603	ensembl_havana	protein_coding
GOT1	0.111777577	ensembl_havana	protein_coding
C6orf163	0.111730038	ensembl_havana	protein_coding
TRMT5	0.111715078	ensembl_havana	protein_coding
SNX18	0.111548331	ensembl_havana	protein_coding
FAHD2A	0.111535021	ensembl_havana	protein_coding
WEE1	0.111494938	ensembl_havana	protein_coding
FBXL15	0.111404101	ensembl_havana	protein_coding
PCDHGC3	0.111399148	ensembl_havana	protein_coding
TSTA3	0.111361955	ensembl_havana	protein_coding
DSCC1	0.111296886	ensembl_havana	protein_coding
COL3A1	0.111280007	ensembl_havana	protein_coding
STX7	0.111179964	ensembl_havana	protein_coding
ZNF136	0.111096331	ensembl_havana	protein_coding
TCEB3	0.11101196	ensembl_havana	protein_coding
DPP9	0.110990424	ensembl_havana	protein_coding
ZNF44	0.110761863	ensembl_havana	protein_coding
CHST15	0.110627073	ensembl_havana	protein_coding
MMS19	0.110608794	ensembl_havana	protein_coding
LMO2	0.110547839	ensembl_havana	protein_coding
FEM1A	0.110514773	ensembl_havana	protein_coding
C1orf21	0.110467312	ensembl_havana	protein_coding
CYB561D2	0.110417295	ensembl_havana	protein_coding
FBXO9	0.110302455	ensembl_havana	protein_coding
LEPR	0.110183882	ensembl_havana	protein_coding
ARMCX1	0.110081141	ensembl_havana	protein_coding
STARD8	0.110072666	ensembl_havana	protein_coding
TRIM13	0.110005607	ensembl_havana	protein_coding
EPB41L1	0.10999047	ensembl_havana	protein_coding
HES6	0.109982251	ensembl_havana	protein_coding
NDUFA6	0.109948858	ensembl_havana	protein_coding
TIMELESS	0.109942748	ensembl_havana	protein_coding
ZNF417	0.10990992	ensembl_havana	protein_coding
CDKN2D	0.109599486	ensembl_havana	protein_coding
SLC31A1	0.109578121	ensembl_havana	protein_coding
SLC25A21	0.10952571	ensembl_havana	protein_coding
C22orf31	0.109442163	ensembl_havana	protein_coding
CNTN3	0.109442163	ensembl_havana	protein_coding
SCEL	0.109442163	ensembl_havana	protein_coding
EGF	0.109442163	ensembl_havana	protein_coding
CDH11	0.109442163	ensembl_havana	protein_coding
VWA5B2	0.109442163	ensembl_havana	protein_coding
CCDC148	0.109442163	ensembl_havana	protein_coding
POU6F1	0.109442163	ensembl_havana	protein_coding
ACKR2	0.109378262	havana	protein_coding
PDZD2	0.109368403	ensembl_havana	protein_coding
METAP1	0.10934181	ensembl_havana	protein_coding
TSEN15	0.109193904	ensembl_havana	protein_coding
POLE2	0.109175693	ensembl_havana	protein_coding
NAP1L5	0.109151668	havana	protein_coding
Sep-01	0.109110077	ensembl_havana	protein_coding
PLBD1	0.109094409	ensembl_havana	protein_coding
SLC26A5	0.109001572	ensembl_havana	protein_coding
UACA	0.108813822	ensembl_havana	protein_coding
ERCC6L2	0.108781291	ensembl_havana	protein_coding
C1orf145	0.108588516	havana	protein_coding
DNPEP	0.108444974	ensembl_havana	protein_coding
CARNS1	0.108247077	ensembl_havana	protein_coding
IDH3G	0.108235121	ensembl_havana	protein_coding
ETFDH	0.108149772	ensembl_havana	protein_coding
PADI4	0.108112974	ensembl_havana	protein_coding
PER2	0.108072694	ensembl_havana	protein_coding
COX6B1	0.107954727	ensembl_havana	protein_coding
CERS2	0.107940415	ensembl_havana	protein_coding
GPATCH2	0.107934763	ensembl_havana	protein_coding
KRBA2	0.107907233	ensembl_havana	protein_coding
TLE4	0.107804656	ensembl_havana	protein_coding
ASPHD2	0.107786661	ensembl_havana	protein_coding
SYS1	0.10767109	ensembl_havana	protein_coding
PMS2	0.107665386	ensembl_havana	protein_coding
JDP2	0.107661346	ensembl_havana	protein_coding
ERBB2IP	0.107406917	ensembl_havana	protein_coding
EBAG9	0.107284714	ensembl_havana	protein_coding
CNIH1	0.107238843	ensembl_havana	protein_coding
AUTS2	0.107204248	ensembl_havana	protein_coding
NHLRC3	0.107146626	ensembl_havana	protein_coding
TBC1D19	0.107096547	ensembl_havana	protein_coding
CLEC11A	0.107003991	ensembl_havana	protein_coding
TBCB	0.106885954	ensembl_havana	protein_coding
UQCRB	0.106820045	ensembl_havana	protein_coding
KANSL1	0.106714534	ensembl_havana	protein_coding
PKN2	0.106562487	ensembl_havana	protein_coding
FAM122C	0.106331892	ensembl_havana	protein_coding
PPP1R12B	0.106131173	ensembl_havana	protein_coding
FAM127C	0.105861278	havana	protein_coding
MDM4	0.105784759	ensembl_havana	protein_coding
ADGRG1	0.105627548	ensembl_havana	protein_coding
SENP6	0.105608351	ensembl_havana	protein_coding
TRAK2	0.105556204	ensembl_havana	protein_coding
EBP	0.105553091	ensembl_havana	protein_coding
VPS50	0.105493403	ensembl_havana	protein_coding
CCR3	0.105302962	ensembl_havana	protein_coding
BPGM	0.105275259	ensembl_havana	protein_coding
PCGF3	0.105230819	ensembl_havana	protein_coding
GULP1	0.105209648	ensembl_havana	protein_coding
RP11-849F2.7	0.105192404	havana	protein_coding
ZCCHC7	0.105176926	ensembl_havana	protein_coding
CAPN15	0.105143152	ensembl_havana	protein_coding
METTL6	0.105106325	ensembl_havana	protein_coding
ZBTB8OS	0.10508012	ensembl_havana	protein_coding
ALAS1	0.105033028	ensembl_havana	protein_coding
VKORC1	0.104970542	ensembl_havana	protein_coding
EFCAB11	0.104969899	ensembl_havana	protein_coding
DDA1	0.104670109	ensembl_havana	protein_coding
RANGRF	0.104530487	ensembl_havana	protein_coding
FAM171A1	0.104435522	ensembl_havana	protein_coding
RHOBTB3	0.104427423	ensembl_havana	protein_coding
PRKCZ	0.104335007	ensembl_havana	protein_coding
GTF3C2	0.104326319	ensembl_havana	protein_coding
TECPR2	0.104302563	ensembl_havana	protein_coding
RAB39B	0.104257818	ensembl_havana	protein_coding
HDLBP	0.104189298	ensembl_havana	protein_coding
DNAJC17	0.104119961	ensembl_havana	protein_coding
DRAM2	0.103933015	ensembl_havana	protein_coding
ABCC3	0.103865575	ensembl_havana	protein_coding
SLC41A3	0.103837941	ensembl_havana	protein_coding
PRIMA1	0.103806419	ensembl_havana	protein_coding
ELOVL7	0.103768916	ensembl_havana	protein_coding
SETD4	0.103734857	ensembl_havana	protein_coding
BIN3	0.103705386	ensembl_havana	protein_coding
DCST2	0.103658439	ensembl_havana	protein_coding
C19orf38	0.103631628	ensembl_havana	protein_coding
ZMYM5	0.103562427	ensembl_havana	protein_coding
TFIP11	0.103545018	ensembl_havana	protein_coding
KIAA0895	0.103496691	ensembl_havana	protein_coding
GDF5OS	0.103439199	ensembl_havana	protein_coding
CAPZB	0.103396634	ensembl_havana	protein_coding
ARMC9	0.103279768	ensembl_havana	protein_coding
SERINC3	0.10324767	ensembl_havana	protein_coding
SGTB	0.103189674	ensembl_havana	protein_coding
ACTRT3	0.103169062	ensembl_havana	protein_coding
PARP11	0.103153108	ensembl_havana	protein_coding
GTF2H5	0.103134395	ensembl_havana	protein_coding
PHC3	0.103081151	ensembl_havana	protein_coding
FKBP14	0.103048608	ensembl_havana	protein_coding
B4GALT1	0.103039702	ensembl_havana	protein_coding
KCTD7	0.10300058	ensembl_havana	protein_coding
SGK3	0.102981386	ensembl_havana	protein_coding
AIM1	0.102839043	ensembl_havana	protein_coding
CEBPB	0.102655655	ensembl_havana	protein_coding
GNGT1	0.102545941	ensembl_havana	protein_coding
MAG	0.10253875	ensembl_havana	protein_coding
PRRT2	0.10253875	ensembl_havana	protein_coding
PI4KB	0.102518857	ensembl_havana	protein_coding
ADH5	0.102475549	ensembl_havana	protein_coding
KHK	0.102466703	ensembl_havana	protein_coding
CD44	0.102431357	ensembl_havana	protein_coding
SRPK1	0.102407521	ensembl_havana	protein_coding
STRA13	0.102374979	ensembl_havana	protein_coding
RFX2	0.102230402	ensembl_havana	protein_coding
MT-ATP8	0.102222082	insdc	protein_coding
ARID1B	0.102219689	ensembl_havana	protein_coding
STAP2	0.102123344	ensembl_havana	protein_coding
MRPS14	0.102000176	ensembl_havana	protein_coding
PDZD9	0.101993879	ensembl_havana	protein_coding
PQLC2L	0.101993879	ensembl_havana	protein_coding
B3GNT9	0.101993879	ensembl_havana	protein_coding
FAM229B	0.101962053	ensembl_havana	protein_coding
STARD10	0.101918593	ensembl_havana	protein_coding
CNOT8	0.101815259	ensembl_havana	protein_coding
TUSC1	0.101799765	ensembl_havana	protein_coding
MGST3	0.101773827	ensembl_havana	protein_coding
FAM155A	0.10159446	havana	protein_coding
ZNF518A	0.101552035	ensembl_havana	protein_coding
MERTK	0.101514527	ensembl_havana	protein_coding
PPFIBP2	0.101472889	ensembl_havana	protein_coding
KIF21A	0.101446104	ensembl_havana	protein_coding
CCDC30	0.101274144	ensembl_havana	protein_coding
C16orf87	0.101180994	ensembl_havana	protein_coding
PIGP	0.1011547	ensembl_havana	protein_coding
ZFPM1	0.10105637	ensembl_havana	protein_coding
SLC25A4	0.100951538	ensembl_havana	protein_coding
HIGD2A	0.100591003	ensembl_havana	protein_coding
CASC3	0.100499849	ensembl_havana	protein_coding
C16orf59	0.100485537	ensembl_havana	protein_coding
KIZ	0.100432432	ensembl_havana	protein_coding
ZG16B	0.100406899	ensembl_havana	protein_coding
TIMM8B	0.100007684	ensembl_havana	protein_coding
ADGRB2	0.100001504	ensembl_havana	protein_coding
PGM2	0.099878075	ensembl_havana	protein_coding
ALOX5AP	0.099873212	ensembl_havana	protein_coding
TEX2	0.099780274	ensembl_havana	protein_coding
HCLS1	0.099728538	ensembl_havana	protein_coding
POLR3E	0.099709133	ensembl_havana	protein_coding
CHD1	0.099607439	ensembl_havana	protein_coding
C1QTNF3	0.09958764	ensembl_havana	protein_coding
SERPINB9	0.099499365	ensembl_havana	protein_coding
SRPX2	0.099434988	ensembl_havana	protein_coding
EVI2B	0.099434988	ensembl_havana	protein_coding
ETFA	0.099422168	ensembl_havana	protein_coding
CACNA1C	0.099402615	ensembl_havana	protein_coding
RBMS1	0.099255904	ensembl_havana	protein_coding
GPRASP2	0.09908612	ensembl_havana	protein_coding
TOX4	0.099011788	ensembl_havana	protein_coding
RNFT2	0.098968139	ensembl_havana	protein_coding
FAM96A	0.098867232	ensembl_havana	protein_coding
BRINP2	0.098847902	ensembl_havana	protein_coding
BCL11B	0.098666299	ensembl_havana	protein_coding
CHCHD3	0.098541033	ensembl_havana	protein_coding
RAB11B	0.098448824	ensembl_havana	protein_coding
RPP30	0.098431436	ensembl_havana	protein_coding
SLC25A14	0.098296702	ensembl_havana	protein_coding
ZNF558	0.098180658	ensembl_havana	protein_coding
PKNOX1	0.098166437	ensembl_havana	protein_coding
FSD1	0.098150354	ensembl_havana	protein_coding
PPP1R12A	0.098147486	ensembl_havana	protein_coding
PTP4A2	0.098127723	ensembl_havana	protein_coding
C2orf74	0.098049722	ensembl_havana	protein_coding
PIGL	0.098019711	ensembl_havana	protein_coding
MEGF9	0.097879216	ensembl_havana	protein_coding
RPL3	0.09786891	ensembl_havana	protein_coding
USP25	0.097831538	ensembl_havana	protein_coding
NUMBL	0.097698977	ensembl_havana	protein_coding
ETV7	0.097683097	ensembl_havana	protein_coding
UPK3A	0.097683097	ensembl_havana	protein_coding
PACRG	0.097683097	ensembl_havana	protein_coding
FAM71F1	0.097683097	ensembl_havana	protein_coding
PCDHA1	0.097683097	ensembl_havana	protein_coding
DIO1	0.097683097	ensembl_havana	protein_coding
RP11-697E2.6	0.097683097	havana	protein_coding
RSBN1	0.097575426	ensembl_havana	protein_coding
DENND2D	0.097372512	ensembl_havana	protein_coding
UPK3B	0.09733979	ensembl_havana	protein_coding
ABLIM2	0.096940785	ensembl_havana	protein_coding
COPZ2	0.096932904	ensembl_havana	protein_coding
RAD51B	0.096878414	ensembl_havana	protein_coding
ERCC5	0.096852602	ensembl_havana	protein_coding
NEK11	0.096847178	ensembl_havana	protein_coding
DEPDC1	0.096807488	ensembl_havana	protein_coding
PSMC6	0.096796145	ensembl_havana	protein_coding
NEIL1	0.096757048	ensembl_havana	protein_coding
PAX8	0.096747808	ensembl_havana	protein_coding
SCNM1	0.096700666	ensembl_havana	protein_coding
FAM168A	0.096699024	ensembl_havana	protein_coding
PIK3AP1	0.096598211	ensembl_havana	protein_coding
ALS2CR12	0.096569265	ensembl_havana	protein_coding
DYX1C1	0.096525481	ensembl_havana	protein_coding
COX16	0.096257594	ensembl_havana	protein_coding
MKRN2	0.096052299	ensembl_havana	protein_coding
MGAT5	0.096043311	ensembl_havana	protein_coding
NONO	0.095896086	ensembl_havana	protein_coding
RP11-2C24.9	0.095808352	havana	protein_coding
ITGA11	0.095782291	ensembl_havana	protein_coding
NDUFAF1	0.095749003	ensembl_havana	protein_coding
FLYWCH1	0.09568506	ensembl_havana	protein_coding
GAPDH	0.095585674	ensembl_havana	protein_coding
SIN3A	0.095564067	ensembl_havana	protein_coding
TCEAL3	0.095531139	ensembl_havana	protein_coding
DTYMK	0.09548472	ensembl_havana	protein_coding
CAMK2D	0.095482848	ensembl_havana	protein_coding
ASAH2	0.09548267	ensembl_havana	protein_coding
INCA1	0.095262979	ensembl_havana	protein_coding
SOX8	0.095130341	ensembl_havana	protein_coding
THPO	0.095130341	ensembl_havana	protein_coding
CRYBB3	0.095130341	ensembl_havana	protein_coding
NFE2	0.095130341	ensembl_havana	protein_coding
IGLL1	0.095130341	ensembl_havana	protein_coding
TMEM27	0.095130341	ensembl_havana	protein_coding
TMC2	0.095130341	ensembl_havana	protein_coding
MBLAC1	0.095130341	ensembl_havana	protein_coding
CORT	0.095130341	ensembl_havana	protein_coding
AL022578.1	0.095130341	ensembl	protein_coding
MAGED1	0.095020011	ensembl_havana	protein_coding
SLC12A2	0.094893749	ensembl_havana	protein_coding
PBDC1	0.094880071	ensembl_havana	protein_coding
CDPF1	0.094760712	ensembl_havana	protein_coding
PSMB9	0.094701006	ensembl_havana	protein_coding
CDKN3	0.094677543	ensembl_havana	protein_coding
CXXC4	0.094640317	ensembl_havana	protein_coding
NGLY1	0.094248484	ensembl_havana	protein_coding
FCHO2	0.094191777	ensembl_havana	protein_coding
POLR3K	0.09418869	ensembl_havana	protein_coding
KCNRG	0.094178313	ensembl_havana	protein_coding
SMAGP	0.094159262	ensembl_havana	protein_coding
PLAU	0.094153976	ensembl_havana	protein_coding
SMARCA1	0.094100918	ensembl_havana	protein_coding
TENM4	0.09400693	ensembl_havana	protein_coding
AKR1B15	0.093955265	ensembl_havana	protein_coding
DERL2	0.093854831	ensembl_havana	protein_coding
PMPCA	0.093812714	ensembl_havana	protein_coding
FAM104B	0.093771938	ensembl_havana	protein_coding
KRT7	0.093682749	ensembl_havana	protein_coding
CLIP3	0.093647961	ensembl_havana	protein_coding
OTUD7B	0.093603633	ensembl_havana	protein_coding
PCDHB3	0.093415748	havana	protein_coding
PKN3	0.09341129	ensembl_havana	protein_coding
TTC26	0.093404565	ensembl_havana	protein_coding
GREB1	0.09338206	ensembl_havana	protein_coding
RNF135	0.093350443	ensembl_havana	protein_coding
DYRK4	0.09326516	ensembl_havana	protein_coding
HIST1H2AL	0.093203261	havana	protein_coding
FEM1C	0.093157257	ensembl_havana	protein_coding
ELF1	0.093122527	ensembl_havana	protein_coding
SLC25A28	0.093084887	ensembl_havana	protein_coding
ATP5SL	0.093055037	ensembl_havana	protein_coding
CYP4F22	0.092920738	ensembl_havana	protein_coding
KLB	0.092899919	ensembl_havana	protein_coding
KBTBD2	0.092785354	ensembl_havana	protein_coding
ZNF117	0.092770211	ensembl_havana	protein_coding
ARPP19	0.092752963	ensembl_havana	protein_coding
RAB11A	0.092454294	ensembl_havana	protein_coding
REEP1	0.092373483	ensembl_havana	protein_coding
LRPPRC	0.092281305	ensembl_havana	protein_coding
NFKBIE	0.09220991	ensembl_havana	protein_coding
TMED6	0.092206339	ensembl_havana	protein_coding
ACSS3	0.092162817	ensembl_havana	protein_coding
PCIF1	0.092149041	ensembl_havana	protein_coding
CFAP221	0.092119532	ensembl_havana	protein_coding
EVI2A	0.092036771	ensembl_havana	protein_coding
CD320	0.091961056	ensembl_havana	protein_coding
CCDC43	0.091933774	ensembl_havana	protein_coding
RP11-1012A1.4	0.091808987	havana	protein_coding
METTL20	0.091790743	ensembl_havana	protein_coding
TNFAIP8L3	0.091664397	ensembl_havana	protein_coding
SLC16A13	0.091530527	ensembl_havana	protein_coding
TMEM199	0.0914732	ensembl_havana	protein_coding
STX17	0.091357972	ensembl_havana	protein_coding
CYP4F11	0.091322768	ensembl_havana	protein_coding
MCOLN2	0.091275487	ensembl_havana	protein_coding
PDCD5	0.091146007	ensembl_havana	protein_coding
FYCO1	0.091046312	ensembl_havana	protein_coding
ZFAND2A	0.090972524	ensembl_havana	protein_coding
PLK1	0.090966766	ensembl_havana	protein_coding
C1orf159	0.090930493	ensembl_havana	protein_coding
PDZK1	0.090893739	ensembl_havana	protein_coding
ARHGEF4	0.090788458	ensembl_havana	protein_coding
MAN2A2	0.090592358	ensembl_havana	protein_coding
RPL36AL	0.090534519	ensembl_havana	protein_coding
PDLIM3	0.090408341	ensembl_havana	protein_coding
ROR2	0.090324558	ensembl_havana	protein_coding
CFAP45	0.090307211	ensembl_havana	protein_coding
GLT8D2	0.090179493	ensembl_havana	protein_coding
ST8SIA1	0.090064326	ensembl_havana	protein_coding
KIF14	0.090010374	ensembl_havana	protein_coding
RDH10	0.090009392	ensembl_havana	protein_coding
MPC1	0.089975308	ensembl_havana	protein_coding
RPUSD3	0.089971794	ensembl_havana	protein_coding
CKMT2	0.089923012	ensembl_havana	protein_coding
ESCO1	0.089738851	ensembl_havana	protein_coding
RPA3	0.089679607	ensembl_havana	protein_coding
PCK2	0.089670366	ensembl_havana	protein_coding
MRPL18	0.089653001	ensembl_havana	protein_coding
C17orf75	0.089619609	ensembl_havana	protein_coding
MSANTD2	0.089609117	ensembl_havana	protein_coding
CEP72	0.089580482	ensembl_havana	protein_coding
ALDH16A1	0.089396443	ensembl_havana	protein_coding
KAT5	0.089332701	ensembl_havana	protein_coding
FGF23	0.089332495	ensembl_havana	protein_coding
CACNG8	0.089332495	ensembl_havana	protein_coding
ARMC6	0.08928863	ensembl_havana	protein_coding
ZNF107	0.089219075	ensembl_havana	protein_coding
ACOT9	0.089171421	ensembl_havana	protein_coding
MPHOSPH6	0.089115071	ensembl_havana	protein_coding
UBR2	0.088931499	ensembl_havana	protein_coding
SLURP1	0.088906458	ensembl_havana	protein_coding
SAC3D1	0.088887212	ensembl_havana	protein_coding
ABL2	0.088870446	ensembl_havana	protein_coding
CNTLN	0.088754005	ensembl_havana	protein_coding
PCM1	0.088664225	ensembl_havana	protein_coding
RAB11FIP2	0.088608574	ensembl_havana	protein_coding
POLR1C	0.088591611	ensembl_havana	protein_coding
B3GNT8	0.088456976	ensembl_havana	protein_coding
VSIG2	0.088443043	ensembl_havana	protein_coding
SEMA5B	0.088443043	ensembl_havana	protein_coding
PRODH	0.088443043	ensembl_havana	protein_coding
TTR	0.088443043	ensembl_havana	protein_coding
SHBG	0.088443043	ensembl_havana	protein_coding
ARL11	0.088443043	ensembl_havana	protein_coding
SVOPL	0.088443043	ensembl_havana	protein_coding
HK3	0.088443043	ensembl_havana	protein_coding
KLHL30	0.088443043	ensembl_havana	protein_coding
DCLK2	0.088443043	ensembl_havana	protein_coding
MYO1H	0.088443043	ensembl_havana	protein_coding
DAND5	0.088443043	ensembl_havana	protein_coding
CCDC87	0.088443043	ensembl_havana	protein_coding
CTNNA3	0.088443043	ensembl_havana	protein_coding
HIST1H2BL	0.088443043	ensembl_havana	protein_coding
BPIFA1	0.088443043	ensembl_havana	protein_coding
C17orf98	0.088443043	ensembl_havana	protein_coding
AUP1	0.08842097	ensembl_havana	protein_coding
PPP1R14C	0.08838375	ensembl_havana	protein_coding
RNF169	0.088337253	ensembl_havana	protein_coding
IFFO1	0.088273821	ensembl_havana	protein_coding
ANGPT4	0.088273821	ensembl_havana	protein_coding
FAM188B	0.088273821	ensembl_havana	protein_coding
CTIF	0.088273821	ensembl_havana	protein_coding
PRKG2	0.088273821	ensembl_havana	protein_coding
ST8SIA2	0.088273821	ensembl_havana	protein_coding
SLC4A10	0.088273821	ensembl_havana	protein_coding
SLC18A2	0.088273821	ensembl_havana	protein_coding
TMEM110	0.088273821	ensembl_havana	protein_coding
SLC35D1	0.088152184	ensembl_havana	protein_coding
CMC2	0.08807995	ensembl_havana	protein_coding
GINS1	0.088063699	ensembl_havana	protein_coding
PRPF40A	0.08800744	ensembl_havana	protein_coding
ZDHHC9	0.087827084	ensembl_havana	protein_coding
AXIN2	0.087777818	ensembl_havana	protein_coding
RPL4	0.087706725	ensembl_havana	protein_coding
CMTR1	0.087688657	ensembl_havana	protein_coding
TRIP11	0.087681013	ensembl_havana	protein_coding
NMNAT3	0.087617932	ensembl_havana	protein_coding
MT-ND4L	0.08755771	insdc	protein_coding
RBMX2	0.087531669	ensembl_havana	protein_coding
ZNF169	0.087490347	ensembl_havana	protein_coding
PRMT5	0.087426738	ensembl_havana	protein_coding
ZNF346	0.087358628	ensembl_havana	protein_coding
ALG1L	0.087325249	ensembl_havana	protein_coding
FKBPL	0.087255463	ensembl_havana	protein_coding
HOXA3	0.087238723	ensembl_havana	protein_coding
MRPS22	0.087200588	ensembl_havana	protein_coding
DUSP19	0.086973477	ensembl_havana	protein_coding
THSD7A	0.086959867	ensembl_havana	protein_coding
TYMP	0.086959867	ensembl_havana	protein_coding
BEST2	0.086959867	ensembl_havana	protein_coding
ACTL6B	0.086959867	ensembl_havana	protein_coding
PIP5K1B	0.086959867	ensembl_havana	protein_coding
MYL2	0.086959867	ensembl_havana	protein_coding
ACRBP	0.086959867	ensembl_havana	protein_coding
CHRNA10	0.086959867	ensembl_havana	protein_coding
HSD17B3	0.086959867	ensembl_havana	protein_coding
FXYD6	0.086959867	ensembl_havana	protein_coding
CCDC33	0.086959867	ensembl_havana	protein_coding
SLC25A27	0.086959867	ensembl_havana	protein_coding
BTG3	0.086959867	ensembl_havana	protein_coding
LRRC2	0.086959867	ensembl_havana	protein_coding
C8orf48	0.086959867	ensembl_havana	protein_coding
MYO1A	0.086959867	ensembl_havana	protein_coding
COL8A2	0.086959867	ensembl_havana	protein_coding
FAM26F	0.086959867	ensembl_havana	protein_coding
SLC34A3	0.086959867	ensembl_havana	protein_coding
CSAG1	0.086959867	ensembl_havana	protein_coding
TAS2R46	0.086959867	ensembl_havana	protein_coding
HEATR9	0.086959867	ensembl_havana	protein_coding
MRPS7	0.086928962	ensembl_havana	protein_coding
DSN1	0.086921141	ensembl_havana	protein_coding
C4orf47	0.086910613	ensembl_havana	protein_coding
WIPF1	0.086860808	ensembl_havana	protein_coding
HIST2H2AC	0.086860808	ensembl_havana	protein_coding
CLSTN3	0.086845192	ensembl_havana	protein_coding
PSORS1C1	0.086810443	ensembl_havana	protein_coding
HPRT1	0.086800788	ensembl_havana	protein_coding
COL17A1	0.086759512	ensembl_havana	protein_coding
BCL11A	0.086759512	ensembl_havana	protein_coding
KCNH1	0.086759512	ensembl_havana	protein_coding
RGS20	0.086759512	ensembl_havana	protein_coding
PLA2G2F	0.086759512	ensembl_havana	protein_coding
FAM151A	0.086759512	ensembl_havana	protein_coding
ADAMTS15	0.086759512	ensembl_havana	protein_coding
IGFBP6	0.086759512	ensembl_havana	protein_coding
SNTG2	0.086759512	ensembl_havana	protein_coding
C2orf70	0.086759512	ensembl_havana	protein_coding
BEGAIN	0.086759512	ensembl_havana	protein_coding
COLEC10	0.086759512	ensembl_havana	protein_coding
TMPRSS11B	0.086759512	ensembl_havana	protein_coding
SRD5A2	0.086759512	ensembl_havana	protein_coding
AC087350.1	0.086759512	ensembl	protein_coding
ZNF75A	0.086560063	ensembl_havana	protein_coding
CCDC77	0.086557222	ensembl_havana	protein_coding
AMBRA1	0.086433724	ensembl_havana	protein_coding
ZPR1	0.086402325	ensembl_havana	protein_coding
HSF2BP	0.086240528	ensembl_havana	protein_coding
CLDND1	0.08622922	ensembl_havana	protein_coding
HSBP1	0.085829508	ensembl_havana	protein_coding
ABCC5	0.085792539	ensembl_havana	protein_coding
OAS2	0.085788996	ensembl_havana	protein_coding
SUPT3H	0.085657764	ensembl_havana	protein_coding
HMCES	0.085602139	ensembl_havana	protein_coding
NSL1	0.085463014	ensembl_havana	protein_coding
RP11-691N7.6	0.085455381	havana	protein_coding
SEC11A	0.085440777	ensembl_havana	protein_coding
ACOXL	0.085407931	ensembl_havana	protein_coding
PRDM5	0.085384263	ensembl_havana	protein_coding
ISG20L2	0.085299984	ensembl_havana	protein_coding
ILKAP	0.085239981	ensembl_havana	protein_coding
SLC31A2	0.085190932	ensembl_havana	protein_coding
HSPA2	0.085185417	ensembl_havana	protein_coding
NFKBIB	0.085048586	ensembl_havana	protein_coding
CYP51A1	0.084984297	ensembl_havana	protein_coding
FAM84A	0.084957682	ensembl_havana	protein_coding
NAP1L1	0.08484006	ensembl_havana	protein_coding
DFNA5	0.084756147	ensembl_havana	protein_coding
CPVL	0.084598581	ensembl_havana	protein_coding
ROPN1B	0.084598581	ensembl_havana	protein_coding
