	1.lane.clean.uniq.gz	2.lane.clean.uniq.gz	3.lane.clean.uniq.gz	4.lane.clean.uniq.gz	5.lane.clean.uniq.gz	6.lane.clean.uniq.gz	7.lane.clean.uniq.gz	8.lane.clean.uniq.gz	9.lane.clean.uniq.gz	10.lane.clean.uniq.gz	11.lane.clean.uniq.gz	12.lane.clean.uniq.gz
hsa-miR-324-5p	27	25	22	4	2	2	10	23	6	2	3	1
hsa-let-7f-2-3p	20	21	27	13	8	9	11	22	12	7	11	7
hsa-miR-5010-3p	27	21	24	1	0	0	2	26	4	2	0	1
hsa-miR-488-5p	13	18	19	0	1	0	0	26	0	0	0	0
hsa-miR-501-3p	26	14	25	18	17	15	14	17	13	5	11	11
hsa-miR-374b-3p	23	25	19	16	7	10	10	23	8	6	2	5
hsa-miR-3912	25	18	18	5	5	3	5	18	1	0	0	3
hsa-miR-4330	2	1	3	2	2	3	3	0	23	8	18	25
hsa-miR-629-5p	20	20	25	6	2	4	11	17	23	15	16	8
hsa-miR-4492	25	19	16	1	7	3	0	19	3	2	3	5
hsa-miR-2110	24	18	16	18	15	13	15	22	4	0	5	2
hsa-miR-503	9	10	7	21	10	22	24	13	24	16	10	6
hsa-miR-483-5p	3	2	1	12	2	3	9	3	24	11	13	13
hsa-miR-671-5p	17	24	13	6	3	4	5	16	7	4	5	3
hsa-miR-299-3p	19	17	24	1	3	3	3	20	3	1	2	3
hsa-miR-452-3p	1	0	1	24	13	12	13	2	2	1	0	1
hsa-miR-1185-1-3p	9	23	14	2	2	2	2	24	2	5	3	4
hsa-miR-17-3p	4	10	5	8	1	4	9	8	23	11	15	11
hsa-miR-548ah-3p	6	6	5	1	1	0	1	5	23	16	11	13
hsa-miR-378b	1	0	0	23	9	9	12	0	0	1	0	0
hsa-miR-185-3p	20	17	17	20	18	15	23	17	10	6	2	4
hsa-miR-628-3p	16	22	15	3	6	3	2	20	2	1	2	2
hsa-miR-769-3p	19	22	17	2	0	1	0	13	0	2	0	1
hsa-miR-668	22	14	11	0	0	1	0	20	0	0	0	0
hsa-miR-3161	21	16	15	8	7	2	13	14	8	9	6	4
hsa-miR-154-3p	16	17	9	0	0	1	1	21	1	1	0	0
hsa-miR-342-5p	18	16	13	3	0	1	1	21	8	1	8	5
hsa-miR-1197	14	16	21	0	0	0	0	20	0	0	0	0
hsa-miR-10a-3p	0	0	0	17	3	6	4	0	20	7	6	8
hsa-miR-491-5p	14	15	11	8	2	4	12	20	0	0	0	0
hsa-miR-99a-3p	14	16	10	20	4	10	7	17	12	5	13	8
hsa-miR-299-5p	12	20	13	0	0	2	4	12	1	1	0	1
hsa-miR-212-3p	20	11	12	1	1	0	1	11	2	1	0	2
hsa-miR-3676-5p	12	19	13	7	3	4	7	15	19	5	3	7
hsa-miR-378i	0	0	0	19	6	13	10	1	2	2	0	1
hsa-miR-154-5p	14	15	19	0	2	2	2	11	1	2	2	3
hsa-miR-130a-3p	12	12	19	17	13	19	17	13	15	6	6	5
hsa-miR-376c	18	17	18	4	4	2	6	19	3	1	1	3
hsa-miR-664-5p	17	13	19	10	12	5	6	17	7	3	6	7
hsa-miR-23b-5p	7	10	4	5	8	3	10	7	19	8	8	6
hsa-miR-766-3p	18	11	6	1	2	0	0	5	2	1	1	0
hsa-miR-331-5p	14	10	6	2	2	6	3	18	8	4	1	2
hsa-miR-876-3p	18	16	10	0	0	0	0	12	0	1	0	0
hsa-miR-7-1-3p	15	18	14	1	0	1	3	18	5	1	3	0
hsa-miR-30c-1-3p	10	13	14	18	11	15	18	16	11	7	5	4
hsa-miR-380-5p	17	13	6	0	0	0	1	9	1	1	0	0
hsa-miR-493-3p	4	2	4	17	8	12	11	5	13	5	7	5
hsa-miR-380-3p	10	12	3	1	0	0	0	17	0	1	0	0
hsa-miR-1225-3p	12	17	10	1	1	0	1	9	0	0	0	0
hsa-miR-576-3p	3	5	1	2	2	1	8	6	16	8	7	8
hsa-miR-1248	7	9	8	11	3	9	6	9	16	9	7	3
hsa-miR-200c-3p	8	5	3	4	2	1	2	4	16	6	9	6
hsa-miR-885-3p	12	5	13	0	0	0	0	6	16	10	9	7
hsa-miR-873-3p	11	9	8	0	0	0	0	16	0	0	0	0
hsa-miR-301a-5p	16	8	13	4	5	5	4	16	1	0	0	0
hsa-miR-654-5p	12	13	16	3	0	0	0	12	1	1	2	2
hsa-miR-1298	14	16	9	0	1	0	0	11	0	0	0	0
hsa-miR-30b-3p	4	2	1	14	10	8	14	9	16	3	2	7
hsa-miR-320b	15	12	7	1	1	1	3	16	5	5	7	4
hsa-miR-187-3p	16	8	13	5	2	3	6	15	2	1	1	1
hsa-miR-1226-3p	11	14	15	4	4	6	6	15	3	1	0	1
hsa-miR-4705	11	6	6	1	1	0	0	15	1	0	0	0
hsa-miR-3120-5p	2	1	2	15	10	8	12	1	5	7	8	7
hsa-miR-744-3p	12	11	15	1	2	0	2	13	1	1	1	1
hsa-miR-548x-5p	5	12	1	3	3	4	2	1	15	6	4	9
hsa-miR-877-5p	9	9	12	5	0	1	2	15	2	1	1	1
hsa-miR-1224-3p	11	15	7	0	0	0	0	15	0	0	1	0
hsa-miR-1827	10	11	9	8	7	4	6	15	5	5	1	1
hsa-miR-3120-3p	2	1	2	11	12	5	9	2	14	6	6	1
hsa-miR-101-5p	14	10	8	6	6	3	2	8	3	5	2	2
hsa-miR-181b-3p	14	12	5	1	4	4	4	9	0	0	0	0
hsa-miR-548k	9	5	4	5	3	3	3	14	5	2	6	10
hsa-miR-625-5p	13	14	11	1	2	1	3	14	2	0	1	0
hsa-miR-3609	14	6	8	4	2	7	4	9	3	7	6	1
hsa-miR-499a-3p	1	0	1	14	6	10	14	0	0	0	0	0
hsa-miR-767-5p	9	9	7	0	0	0	0	13	1	0	0	0
hsa-miR-548h-5p	1	0	1	1	1	1	2	2	13	6	4	2
hsa-miR-514a-3p	5	13	6	7	1	2	2	8	6	5	2	1
hsa-miR-135b-5p	8	8	9	0	1	0	0	13	5	2	4	1
hsa-miR-377-5p	10	11	7	0	0	0	0	12	1	0	0	2
hsa-miR-675-3p	0	0	0	8	2	8	4	1	12	3	2	1
hsa-miR-1343	4	10	12	3	2	0	1	10	0	0	1	0
hsa-miR-214-5p	2	0	0	9	6	8	7	1	10	12	3	9
hsa-miR-2277-5p	12	4	4	3	0	1	1	5	1	1	0	0
hsa-miR-548o-3p	6	6	6	8	3	3	3	6	12	5	3	1
hsa-miR-5683	12	9	11	2	0	0	0	7	0	0	0	0
hsa-miR-3117-3p	12	9	12	2	5	0	0	10	0	0	0	0
hsa-miR-26b-3p	3	8	9	12	3	2	6	10	9	4	4	4
hsa-miR-4662a-5p	5	12	4	5	3	3	3	9	5	8	2	0
hsa-let-7f-1-3p	4	4	7	9	5	4	6	5	12	5	6	4
hsa-miR-130b-3p	2	4	4	0	2	3	0	12	9	6	4	4
hsa-miR-4516	7	10	7	2	0	1	2	8	12	3	2	1
hsa-miR-4461	7	2	3	8	8	5	11	1	12	8	6	5
hsa-miR-372	0	0	0	12	7	3	1	0	3	1	0	0
hsa-miR-200a-5p	4	1	1	0	0	0	0	1	11	10	9	4
hsa-miR-4521	0	1	0	2	0	0	0	1	5	2	11	7
hsa-miR-5096	9	8	8	0	0	1	2	11	9	3	2	5
hsa-miR-1268a	3	4	0	0	0	1	0	2	11	7	5	10
hsa-miR-4532	1	6	2	4	2	11	6	2	4	4	1	1
hsa-miR-499b-5p	0	0	0	11	4	7	5	0	0	0	0	0
hsa-miR-138-2-3p	11	9	10	0	0	0	0	6	0	0	0	0
hsa-miR-15b-3p	9	8	11	4	1	7	6	8	8	5	5	4
hsa-miR-3909	9	9	7	11	8	8	6	11	7	3	2	2
hsa-miR-216b	1	2	2	1	0	1	0	2	11	4	5	5
hsa-miR-3176	4	6	2	0	1	1	2	2	11	5	10	4
hsa-miR-302d-3p	0	1	0	5	11	8	8	0	0	0	0	0
hsa-miR-26a-2-3p	8	4	10	8	1	9	3	9	2	0	2	2
hsa-miR-576-5p	4	9	4	10	4	5	3	4	10	2	9	7
hsa-miR-376a-3p	10	10	6	0	1	1	2	8	2	3	0	0
hsa-miR-490-5p	10	7	3	5	6	5	10	4	1	0	0	0
hsa-miR-217	7	10	7	3	1	6	5	6	9	7	2	10
hsa-miR-193b-5p	9	8	6	4	3	3	3	9	10	6	7	4
hsa-miR-204-3p	3	5	7	0	0	0	0	10	0	0	0	0
hsa-miR-1185-5p	5	7	3	1	0	0	0	10	2	0	0	0
hsa-miR-1261	0	0	0	0	0	1	0	1	10	2	3	1
hsa-miR-548e	6	5	3	7	7	8	5	5	10	4	10	6
hsa-miR-138-1-3p	9	2	2	0	0	0	0	8	0	0	0	0
hsa-miR-302a-3p	0	0	1	3	4	3	9	2	0	0	0	0
hsa-miR-3673	7	7	3	4	3	1	0	9	2	1	2	0
hsa-miR-3123	3	3	3	1	1	9	7	0	2	0	2	0
hsa-miR-27a-5p	9	4	3	5	3	3	2	3	1	6	5	9
hsa-miR-18a-5p	3	5	9	1	1	2	3	6	8	1	3	3
hsa-miR-3196	7	9	8	0	0	0	2	5	0	2	1	1
hsa-miR-585	9	3	6	2	2	4	2	2	0	1	0	0
hsa-miR-5589-3p	0	0	0	0	0	0	0	0	9	2	8	4
hsa-miR-454-5p	4	7	9	3	0	5	1	4	1	0	1	2
hsa-miR-337-3p	6	6	5	8	3	4	4	9	4	0	2	2
hsa-miR-2113	6	6	4	0	0	0	0	9	0	0	1	0
hsa-miR-32-3p	9	2	5	3	1	4	8	8	9	1	2	0
hsa-miR-505-5p	4	1	1	1	0	0	2	0	9	3	1	5
hsa-miR-4326	1	0	0	4	3	1	3	0	8	0	1	3
hsa-miR-641	8	1	1	4	1	1	0	2	3	3	1	3
hsa-miR-1972	4	4	8	2	1	1	2	8	1	0	1	3
hsa-miR-1468	0	2	3	3	1	1	2	7	3	8	4	2
hsa-miR-216a	1	2	3	0	1	0	0	8	4	1	0	1
hsa-miR-3943	3	4	8	0	0	0	0	7	0	0	0	0
hsa-miR-34c-3p	8	6	1	1	0	0	0	8	0	0	0	0
hsa-miR-1260b	5	5	1	8	1	3	6	2	6	4	1	2
hsa-miR-3656	8	3	4	2	2	1	3	4	1	1	0	0
hsa-miR-93-3p	5	8	3	2	3	2	0	4	3	2	1	1
hsa-miR-125a-3p	7	3	3	4	2	4	6	8	2	0	0	0
hsa-miR-224-3p	0	1	0	8	1	2	5	0	3	0	1	1
hsa-miR-642a-5p	0	1	4	2	8	3	3	4	0	0	0	0
hsa-miR-1264	4	8	6	0	0	0	0	5	0	0	0	0
hsa-miR-1973	4	6	1	2	3	3	3	8	4	2	3	3
hsa-miR-1306-5p	2	5	3	3	5	4	5	7	0	0	2	1
hsa-miR-532-3p	2	7	7	2	2	3	4	5	5	3	2	1
hsa-miR-320c	3	7	6	1	0	3	2	7	3	4	5	3
hsa-miR-92b-5p	7	6	4	0	0	0	1	7	1	0	0	0
hsa-miR-191-3p	4	7	2	1	0	0	1	4	0	0	4	0
hsa-miR-1273f	7	1	4	0	0	0	0	5	0	0	1	1
hsa-miR-675-5p	0	0	0	2	3	2	2	0	7	4	5	2
hsa-miR-548t-3p	6	7	1	1	0	3	0	2	6	1	1	1
hsa-miR-4484	2	1	4	7	6	5	5	3	2	0	0	1
hsa-miR-200b-5p	0	0	0	0	0	0	0	0	7	3	0	7
hsa-miR-548d-5p	6	2	3	1	2	0	1	7	1	0	2	1
hsa-miR-887	7	4	4	4	3	2	4	3	0	2	1	0
hsa-miR-522-3p	6	7	0	0	0	0	0	5	0	0	0	0
hsa-miR-192-3p	0	0	0	0	0	0	0	0	7	3	3	3
hsa-miR-365a-5p	6	2	2	7	1	4	4	3	3	3	0	4
hsa-miR-516a-5p	7	7	1	0	0	1	2	4	0	0	0	0
hsa-miR-3545-3p	3	0	2	0	0	0	0	7	0	0	0	0
hsa-miR-940	7	6	2	0	0	0	0	2	1	0	1	1
hsa-miR-323a-5p	5	7	6	0	0	0	0	3	0	0	0	0
hsa-miR-548ab	5	4	7	0	0	1	0	2	1	0	0	0
hsa-miR-1278	5	1	1	1	3	3	7	2	2	1	1	1
hsa-miR-296-3p	4	7	3	2	3	4	2	3	0	0	0	1
hsa-miR-877-3p	3	7	3	1	0	2	0	6	1	0	0	0
hsa-miR-665	3	6	2	3	1	1	1	0	2	1	0	0
hsa-miR-500a-5p	6	2	1	4	2	2	4	0	1	1	0	0
hsa-miR-3605-3p	4	4	6	3	6	5	3	6	0	3	1	0
hsa-miR-449a	1	1	0	0	0	0	0	6	1	0	0	0
hsa-miR-1252	6	3	6	0	0	0	0	6	0	0	0	0
hsa-miR-1285-3p	2	4	2	2	0	1	0	6	5	0	1	2
hsa-miR-34b-3p	3	6	3	0	0	0	0	3	0	0	0	0
hsa-miR-2355-3p	3	4	2	3	0	3	5	6	3	0	1	0
hsa-miR-770-5p	2	2	2	0	0	0	1	6	0	0	0	0
hsa-miR-4686	0	0	0	0	0	0	0	0	5	6	4	5
hsa-miR-501-5p	6	1	2	2	1	5	2	1	2	1	0	2
hsa-miR-1285-5p	5	3	2	1	0	0	1	6	1	1	1	0
hsa-miR-1295b-3p	0	0	0	0	0	0	0	0	6	3	4	4
hsa-miR-302c-3p	0	0	0	6	0	1	2	1	0	0	0	0
hsa-miR-644b-3p	2	5	6	1	0	3	0	5	1	2	0	2
hsa-miR-5684	6	6	6	2	0	0	1	6	3	1	2	1
hsa-miR-548y	2	3	2	6	5	6	5	0	1	1	1	1
hsa-miR-644b-5p	3	5	4	0	0	0	1	5	0	3	0	1
hsa-miR-1306-3p	5	4	3	3	0	3	3	0	0	0	0	0
hsa-miR-1908	1	2	5	0	0	1	0	2	0	1	0	0
hsa-miR-3124-5p	5	0	0	1	1	2	1	1	0	0	0	0
hsa-miR-96-5p	4	3	4	2	0	1	0	5	2	3	0	0
hsa-miR-223-5p	3	2	3	2	5	2	4	2	5	3	4	2
hsa-miR-3687	3	4	2	0	0	0	0	5	0	0	0	0
hsa-miR-548v	0	1	5	0	1	0	0	1	2	0	1	1
hsa-miR-3199	1	1	0	0	0	1	5	0	0	1	1	0
hsa-miR-556-5p	5	1	0	3	0	0	1	3	2	2	2	0
hsa-miR-18a-3p	0	3	4	0	0	5	1	4	4	1	0	0
hsa-miR-652-5p	2	3	0	5	4	4	5	2	0	0	0	0
hsa-miR-29b-1-5p	1	0	1	1	0	0	1	5	1	0	2	0
hsa-miR-33b-5p	4	5	0	0	0	0	0	3	0	0	0	0
hsa-miR-1247-5p	1	0	3	0	1	0	0	5	4	1	0	1
hsa-miR-552	3	5	2	1	0	0	0	5	0	0	0	0
hsa-miR-320d	3	1	1	0	0	1	2	3	5	2	2	0
hsa-miR-193a-3p	0	1	1	0	1	1	2	0	5	3	1	1
hsa-miR-1299	2	0	3	5	3	0	0	0	5	3	1	3
hsa-miR-4787-3p	3	4	4	0	0	0	0	5	0	0	0	0
hsa-miR-33a-3p	2	4	1	1	0	1	0	5	1	2	2	3
hsa-miR-3177-3p	3	0	2	0	0	2	1	5	0	0	1	0
hsa-miR-103a-2-5p	1	0	0	1	0	0	0	4	0	0	0	0
hsa-miR-4677-3p	3	2	4	2	0	0	3	1	1	0	3	2
hsa-miR-496	1	1	0	0	0	0	0	4	0	0	0	0
hsa-miR-4477a	0	0	0	0	0	0	0	0	4	2	2	3
hsa-miR-1277-5p	4	0	0	0	1	0	0	2	0	0	0	0
hsa-miR-5680	0	4	2	0	0	0	0	1	0	0	0	0
hsa-miR-657	4	2	1	0	0	0	0	0	0	0	0	0
hsa-miR-4291	1	1	1	4	3	4	3	1	2	0	1	0
hsa-miR-3591-3p	0	0	0	0	1	0	0	0	4	0	3	1
hsa-miR-2682-3p	0	3	1	0	0	0	0	4	0	0	0	0
hsa-miR-5589-5p	0	1	0	0	0	0	1	0	4	3	3	1
hsa-miR-4508	4	1	4	2	0	3	4	4	4	4	3	1
hsa-miR-4699-3p	0	0	0	0	2	4	1	0	1	0	0	0
hsa-miR-3614-5p	0	0	1	0	0	0	0	0	4	2	2	0
hsa-miR-141-3p	0	0	0	0	0	0	0	0	2	4	1	2
hsa-miR-1587	1	1	1	0	0	0	0	4	0	0	0	0
hsa-miR-1251	1	4	2	0	0	0	0	2	0	0	0	0
hsa-miR-450a-3p	2	1	2	3	0	3	4	1	1	2	0	0
hsa-miR-4313	1	0	2	4	1	1	0	1	1	0	0	0
hsa-miR-514a-5p	0	0	0	0	0	0	0	0	4	1	4	1
hsa-miR-4646-3p	0	1	3	0	0	1	0	4	0	0	0	0
hsa-miR-509-3-5p	4	3	2	0	2	0	0	1	0	1	0	3
hsa-miR-548ah-5p	0	1	1	0	0	0	0	1	4	1	1	1
hsa-miR-517b-3p	1	2	1	4	1	0	3	0	0	0	0	0
hsa-miR-549	4	1	3	0	0	0	0	3	0	0	0	0
hsa-miR-3180-3p	4	3	0	1	0	0	2	0	0	0	0	0
hsa-miR-1295a	0	0	0	0	0	0	1	0	4	2	0	1
hsa-miR-3605-5p	0	4	0	0	0	2	3	4	0	0	2	0
hsa-miR-10b-3p	1	0	1	2	4	3	4	0	0	0	1	0
hsa-miR-4999-5p	0	4	1	0	0	0	1	3	3	0	0	0
hsa-miR-3651	0	2	1	0	0	1	1	2	2	0	0	4
hsa-miR-516b-5p	0	2	0	3	4	1	4	0	0	0	0	0
hsa-miR-3913-3p	0	2	1	2	4	1	1	2	2	1	1	0
hsa-let-7a-2-3p	2	1	4	0	0	0	0	2	0	0	0	0
hsa-miR-548am-3p	1	1	0	0	0	0	0	1	4	0	1	4
hsa-miR-3178	1	2	0	2	0	0	1	1	4	2	1	1
hsa-miR-574-5p	0	0	0	1	1	0	0	1	4	0	0	2
hsa-miR-5095	4	4	3	0	0	0	0	3	1	2	1	0
hsa-miR-1976	3	4	4	1	0	0	2	4	2	1	0	0
hsa-miR-3622b-3p	1	0	3	0	0	0	0	1	0	0	0	0
hsa-miR-34b-5p	1	2	1	0	0	0	0	3	0	0	0	0
hsa-miR-5196-3p	1	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-3681-3p	0	1	1	1	1	2	3	1	1	0	1	0
hsa-miR-4659a-3p	0	1	0	1	0	0	0	1	3	0	0	0
hsa-miR-202-5p	0	0	0	1	0	0	3	0	1	0	0	0
hsa-miR-3173-5p	1	1	1	1	3	0	1	0	1	0	0	0
hsa-miR-5584-5p	3	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3149	1	3	2	0	0	0	0	2	0	0	0	1
hsa-let-7g-3p	1	3	1	1	0	1	1	1	1	1	1	0
hsa-miR-23a-5p	0	0	0	3	1	0	0	1	0	1	0	0
hsa-miR-876-5p	0	3	0	0	0	0	0	2	0	0	0	0
hsa-miR-766-5p	0	3	2	0	0	2	0	3	0	0	0	0
hsa-miR-301b	0	1	3	0	0	0	0	1	0	0	0	0
hsa-miR-4685-3p	3	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-5585-5p	1	3	0	0	0	0	0	2	0	0	0	0
hsa-miR-4640-3p	3	0	1	0	0	0	0	2	0	0	0	0
hsa-miR-147b	0	0	0	3	1	1	2	1	1	0	0	1
hsa-miR-653	3	3	1	1	1	2	1	1	1	0	1	0
hsa-miR-2681-5p	2	2	1	0	0	0	0	3	0	0	0	0
hsa-miR-26a-1-3p	0	1	0	0	0	0	0	0	3	0	0	1
hsa-miR-4665-5p	0	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-512-3p	0	0	1	2	3	2	1	1	0	0	0	0
hsa-miR-541-3p	3	3	1	0	0	0	0	0	0	0	0	0
hsa-miR-676-3p	1	3	1	3	0	2	0	1	2	0	0	1
hsa-miR-942	3	1	3	0	0	0	1	1	1	0	1	1
hsa-miR-4429	3	0	1	0	0	1	0	1	0	1	0	0
hsa-miR-1229	1	2	0	3	0	0	0	2	0	1	0	0
hsa-miR-548ag	3	2	0	0	1	1	0	2	0	0	0	2
hsa-miR-519a-5p	3	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-1304-3p	3	2	0	0	0	2	2	3	1	2	1	0
hsa-miR-3064-5p	3	1	2	0	1	0	0	0	1	0	0	1
hsa-miR-1254	0	0	0	0	0	1	3	0	1	1	0	0
hsa-miR-365b-5p	0	0	3	0	0	0	1	3	3	0	3	0
hsa-miR-3180-5p	1	3	1	1	1	1	0	0	0	0	0	0
hsa-miR-337-5p	3	1	0	1	1	0	2	2	0	1	1	1
hsa-miR-3928	2	3	2	0	0	2	1	0	0	0	0	2
hsa-miR-589-3p	0	3	2	0	0	0	0	1	0	1	0	0
hsa-miR-659-5p	3	2	1	2	0	1	0	3	3	3	2	0
hsa-miR-4458	0	0	0	0	0	0	0	0	3	1	0	0
hsa-miR-4645-3p	1	1	3	1	0	1	0	0	0	1	0	1
hsa-miR-624-5p	0	3	0	1	0	1	1	1	0	2	0	1
hsa-miR-550a-5p	2	1	3	1	0	1	1	0	0	0	1	0
hsa-miR-1273e	1	3	2	0	0	1	0	2	3	1	0	0
hsa-miR-432-3p	2	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-550b-3p	0	0	0	0	1	3	0	0	0	0	0	0
hsa-miR-502-5p	1	1	0	2	0	0	0	3	0	1	0	1
hsa-miR-1277-3p	1	3	1	3	0	0	0	0	1	0	0	0
hsa-miR-3116	0	1	0	3	0	3	1	1	0	0	1	1
hsa-miR-3158-3p	1	2	3	2	1	2	3	2	0	0	1	0
hsa-miR-33b-3p	0	0	0	0	0	0	0	2	3	2	0	3
hsa-miR-25-5p	2	2	3	0	0	2	1	2	3	1	0	1
hsa-miR-4742-3p	1	0	1	1	1	0	0	3	0	0	1	0
hsa-miR-548a-3p	0	0	1	3	1	0	2	0	1	0	1	0
hsa-miR-4749-5p	3	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1249	2	3	1	0	0	0	0	0	0	0	0	0
hsa-miR-5689	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5006-3p	0	1	0	0	0	0	3	2	0	0	0	0
hsa-miR-130a-5p	0	0	1	3	0	0	0	1	0	1	1	1
hsa-miR-4473	0	2	0	1	1	0	1	3	2	0	0	0
hsa-miR-4507	3	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-2355-5p	2	2	2	2	0	2	3	1	0	1	0	0
hsa-miR-376b	2	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3622a-5p	0	1	2	0	0	0	0	0	0	0	0	0
hsa-miR-4709-3p	1	1	0	0	0	2	0	0	0	0	0	0
hsa-miR-448	1	1	1	0	0	0	0	2	0	0	0	0
hsa-miR-5682	1	1	0	0	0	0	0	2	0	0	0	0
hsa-miR-4695-3p	0	0	0	0	0	1	0	0	0	2	0	0
hsa-miR-3622a-3p	0	0	1	0	0	0	0	2	0	0	0	0
hsa-miR-4421	0	2	0	1	1	0	0	2	0	0	0	0
hsa-miR-4486	0	0	0	0	0	0	0	0	2	2	1	0
hsa-miR-1179	1	2	1	0	0	0	0	0	1	0	0	0
hsa-miR-4797-3p	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-548ar-3p	1	1	1	1	0	1	0	2	1	0	0	0
hsa-miR-4690-3p	1	2	0	0	0	0	0	0	0	0	0	1
hsa-miR-3917	0	2	0	0	0	0	0	1	0	0	0	0
hsa-miR-661	0	0	0	0	0	0	0	1	1	0	2	0
hsa-miR-5699	1	0	1	0	1	1	0	2	1	0	0	0
hsa-miR-20a-3p	0	0	1	1	1	0	0	2	0	0	0	0
hsa-miR-3677-5p	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3938	2	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-105-3p	1	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p	1	1	1	0	0	0	0	2	0	1	1	0
hsa-miR-106a-3p	1	0	2	0	0	0	0	1	0	1	0	0
hsa-miR-548al	1	1	1	0	0	2	0	1	0	0	0	0
hsa-miR-548d-3p	0	0	2	1	0	0	1	0	1	0	0	0
hsa-miR-1912	1	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-92a-1-5p	1	0	0	0	1	0	0	1	2	0	0	1
hsa-miR-1227	2	0	0	1	1	0	2	1	0	0	0	1
hsa-miR-1273c	0	0	0	0	0	2	1	2	0	1	0	0
hsa-miR-2276	2	1	0	0	0	0	0	0	2	0	0	0
hsa-miR-5586-5p	0	0	2	0	0	0	0	1	0	0	0	0
hsa-miR-548u	0	1	0	0	0	0	1	0	0	0	1	2
hsa-miR-4682	0	1	0	0	0	0	0	0	2	0	0	0
hsa-miR-301a-3p	1	1	2	1	0	2	0	2	0	0	0	0
hsa-miR-190b	1	0	0	1	2	0	1	0	2	1	2	0
hsa-miR-4676-3p	0	0	0	0	0	0	0	0	2	1	0	0
hsa-miR-2277-3p	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-551b-3p	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-323b-5p	1	2	0	0	0	0	0	1	0	0	0	0
hsa-miR-1323	0	0	0	2	0	1	1	0	0	0	0	0
hsa-miR-3613-5p	0	0	0	1	0	1	0	2	0	1	0	0
hsa-miR-4762-5p	0	0	0	2	0	0	0	0	0	0	1	0
hsa-miR-5696	0	0	0	1	0	0	0	0	2	0	0	0
hsa-miR-3168	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-3960	0	1	0	0	0	0	2	1	1	0	0	1
hsa-miR-150-3p	0	0	0	2	0	0	0	0	0	1	0	0
hsa-miR-1258	1	2	0	0	0	0	0	1	0	0	0	1
hsa-miR-491-3p	2	0	2	1	0	0	2	1	1	0	0	0
hsa-miR-4524a-3p	1	1	1	2	0	1	1	1	1	2	0	1
hsa-miR-4459	0	1	0	0	0	0	2	1	0	0	0	0
hsa-miR-4728-3p	0	1	2	1	1	1	1	0	0	0	0	0
hsa-miR-548q	0	2	2	0	1	0	1	0	2	0	0	2
hsa-miR-4307	1	2	0	0	0	0	0	1	0	0	0	1
hsa-miR-3158-5p	0	0	0	0	0	2	0	0	1	0	0	0
hsa-miR-3128	2	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-642a-3p	1	1	2	1	0	0	1	1	0	0	0	0
hsa-miR-3945	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-4442	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-663b	2	1	1	0	0	1	0	0	0	0	0	0
hsa-miR-1244	2	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-548o-5p	2	0	0	0	0	1	1	2	0	0	0	0
hsa-miR-3688-3p	0	0	1	0	0	0	2	1	0	0	0	0
hsa-miR-4738-3p	0	0	2	1	0	0	0	2	0	0	0	0
hsa-miR-211-5p	2	1	2	0	0	0	1	0	0	0	1	0
hsa-miR-509-5p	0	0	2	0	0	0	0	0	1	0	0	0
hsa-miR-5187-5p	1	1	1	2	0	0	0	0	0	0	0	0
hsa-miR-1247-3p	0	0	0	0	0	0	0	0	2	2	1	0
hsa-miR-4306	2	2	1	1	1	1	1	1	0	2	1	0
hsa-miR-4802-3p	0	0	0	0	0	0	0	0	1	2	0	0
hsa-miR-3127-5p	0	0	2	2	0	1	0	0	0	0	0	0
hsa-miR-7-2-3p	0	1	0	1	0	0	1	2	0	0	0	0
hsa-miR-4732-3p	0	1	2	0	0	0	0	0	0	0	0	0
hsa-miR-663a	0	1	1	0	0	0	0	2	0	0	0	0
hsa-miR-4723-3p	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-3146	1	1	1	0	0	0	0	0	2	0	1	0
hsa-miR-1273g-5p	1	0	0	0	0	0	0	2	0	0	0	1
hsa-miR-3134	0	1	2	0	0	1	0	0	0	0	0	0
hsa-miR-642b-3p	1	0	1	1	0	1	1	2	0	0	0	0
hsa-miR-4528	0	0	0	0	0	0	0	2	0	0	0	0
